2023-07-19T01:36:12.856Z	INFO	main	onos-e2t/onos-e2t.go:41	Starting onos-e2t
2023-07-19T01:36:12.856Z	INFO	github.com/onosproject/onos-e2t/pkg/manager	manager/manager.go:49	Creating Manager
2023-07-19T01:36:12.856Z	INFO	github.com/onosproject/onos-e2t/pkg/modelregistry	modelregistry/modelregistry.go:91	Loading module /usr/local/lib/shared/e2sm_rc_pre_go.so.1.0.0
2023-07-19T01:36:12.979Z	INFO	github.com/onosproject/onos-e2t/pkg/modelregistry	modelregistry/modelregistry.go:110	Loaded e2sm_rc_pre v2_go 1.3.6.1.4.1.53148.1.2.2.100 from /usr/local/lib/shared/e2sm_rc_pre_go.so.1.0.0
2023-07-19T01:36:12.979Z	INFO	github.com/onosproject/onos-e2t/pkg/modelregistry	modelregistry/modelregistry.go:91	Loading module /usr/local/lib/shared/e2sm_kpm_v2_go.so.1.0.0
2023-07-19T01:36:13.026Z	INFO	github.com/onosproject/onos-e2t/pkg/modelregistry	modelregistry/modelregistry.go:110	Loaded e2sm_kpm v2_go 1.3.6.1.4.1.53148.1.2.2.2 from /usr/local/lib/shared/e2sm_kpm_v2_go.so.1.0.0
2023-07-19T01:36:13.026Z	INFO	github.com/onosproject/onos-e2t/pkg/modelregistry	modelregistry/modelregistry.go:91	Loading module /usr/local/lib/shared/e2sm_mho_go.so.1.0.0
2023-07-19T01:36:13.084Z	INFO	github.com/onosproject/onos-e2t/pkg/modelregistry	modelregistry/modelregistry.go:110	Loaded e2sm_mho_go v2 1.3.6.1.4.1.53148.1.2.2.101 from /usr/local/lib/shared/e2sm_mho_go.so.1.0.0
2023-07-19T01:36:13.084Z	INFO	github.com/onosproject/onos-e2t/pkg/modelregistry	modelregistry/modelregistry.go:91	Loading module /usr/local/lib/shared/e2sm_rsm.so.1.0.0
2023-07-19T01:36:13.138Z	INFO	github.com/onosproject/onos-e2t/pkg/modelregistry	modelregistry/modelregistry.go:110	Loaded e2sm_rsm v1_go 1.3.6.1.4.1.53148.1.1.2.102 from /usr/local/lib/shared/e2sm_rsm.so.1.0.0
2023-07-19T01:36:13.138Z	INFO	github.com/onosproject/onos-e2t/pkg/manager	manager/manager.go:75	Running Manager
